0,75,{}
0,126,{}
0,409,{}
0,427,{}
0,433,{}
1,18,{}
1,104,{}
1,118,{}
1,138,{}
1,144,{}
1,382,{}
2,132,{}
2,185,{}
2,454,{}
3,179,{}
3,292,{}
3,454,{}
3,455,{}
3,470,{}
4,80,{}
4,145,{}
4,427,{}
4,491,{}
5,146,{}
5,195,{}
5,260,{}
5,306,{}
6,95,{}
6,127,{}
6,244,{}
6,338,{}
7,280,{}
7,302,{}
7,348,{}
7,497,{}
8,77,{}
8,112,{}
8,144,{}
8,205,{}
8,468,{}
9,10,{}
9,20,{}
9,23,{}
9,71,{}
9,283,{}
9,292,{}
9,436,{}
9,460,{}
10,110,{}
10,276,{}
10,301,{}
10,318,{}
10,341,{}
10,394,{}
10,435,{}
11,35,{}
11,301,{}
12,138,{}
12,256,{}
12,279,{}
12,427,{}
13,37,{}
13,41,{}
13,73,{}
13,414,{}
13,475,{}
13,481,{}
14,262,{}
14,271,{}
14,368,{}
14,400,{}
14,437,{}
15,60,{}
15,118,{}
15,150,{}
15,206,{}
15,215,{}
15,249,{}
15,275,{}
16,73,{}
16,187,{}
16,375,{}
16,405,{}
17,30,{}
17,132,{}
17,143,{}
17,202,{}
17,214,{}
17,289,{}
17,329,{}
17,480,{}
18,92,{}
18,120,{}
18,172,{}
18,210,{}
18,285,{}
19,121,{}
19,162,{}
19,264,{}
19,353,{}
19,437,{}
20,40,{}
20,138,{}
20,139,{}
20,288,{}
20,377,{}
20,392,{}
21,148,{}
22,33,{}
22,163,{}
22,182,{}
22,187,{}
22,190,{}
22,220,{}
22,255,{}
22,322,{}
22,341,{}
22,361,{}
22,462,{}
23,93,{}
23,97,{}
23,140,{}
23,162,{}
23,241,{}
23,243,{}
23,324,{}
24,405,{}
24,459,{}
25,61,{}
25,76,{}
25,82,{}
25,100,{}
25,126,{}
25,259,{}
25,267,{}
25,390,{}
25,422,{}
25,464,{}
26,72,{}
26,74,{}
26,121,{}
26,152,{}
26,184,{}
26,270,{}
26,308,{}
26,319,{}
26,382,{}
27,64,{}
27,107,{}
27,276,{}
27,285,{}
27,312,{}
27,388,{}
28,474,{}
29,135,{}
29,205,{}
29,252,{}
29,371,{}
29,461,{}
30,154,{}
30,192,{}
30,292,{}
30,499,{}
31,166,{}
31,187,{}
31,272,{}
31,300,{}
31,452,{}
32,74,{}
32,267,{}
32,378,{}
32,398,{}
33,77,{}
33,181,{}
33,206,{}
33,332,{}
34,189,{}
34,349,{}
34,367,{}
34,410,{}
34,442,{}
35,91,{}
35,121,{}
35,220,{}
35,334,{}
35,433,{}
36,161,{}
36,297,{}
36,366,{}
36,459,{}
36,464,{}
37,252,{}
37,344,{}
37,473,{}
38,242,{}
38,308,{}
38,331,{}
38,340,{}
38,471,{}
38,491,{}
39,75,{}
39,173,{}
39,430,{}
40,111,{}
40,231,{}
40,279,{}
40,398,{}
40,442,{}
41,90,{}
41,358,{}
42,64,{}
42,93,{}
42,95,{}
42,181,{}
42,367,{}
42,417,{}
42,471,{}
42,487,{}
42,494,{}
43,191,{}
43,194,{}
43,252,{}
43,341,{}
43,365,{}
44,49,{}
44,196,{}
44,200,{}
44,205,{}
44,300,{}
44,301,{}
44,445,{}
44,468,{}
45,247,{}
45,295,{}
46,58,{}
46,114,{}
46,117,{}
46,258,{}
46,321,{}
46,353,{}
46,360,{}
46,366,{}
47,124,{}
47,293,{}
47,307,{}
47,331,{}
47,389,{}
47,393,{}
47,412,{}
48,102,{}
48,213,{}
48,322,{}
48,393,{}
48,435,{}
48,456,{}
49,112,{}
49,137,{}
49,210,{}
50,75,{}
50,272,{}
50,367,{}
50,376,{}
51,124,{}
51,138,{}
51,203,{}
51,205,{}
51,243,{}
51,388,{}
51,445,{}
51,495,{}
